学科类,批次,专业,标签,判定依据,配对数_24_25,超额漂移_24_25,阈值_24_25,显著_24_25,同向率_24_25,配对数_25_26,超额漂移_25_26,阈值_25_26,显著_25_26,同向率_25_26,两段合计超额漂移,原始位次口径_24_25,原始位次口径_25_26,单元数_2024,单元数_2025,单元数_2026,供给变动_24_26,层次分化_25_26
历史学科类,本科批,历史学,持续降温,两段同向且均超置换阈值，单元同向率达标,21,+0.0613,0.0428,是,0.86,54,+0.0682,0.0339,是,0.80,+0.1294,+0.0931,+0.0910,71,63,71,+0,211:8个/+12.3% 985:4个/-3.7% 双一流:2个/+10.4% 普通公办:39个/+6.4% 民办:1个/-11.1%
历史学科类,本科批,汉语言文学,持续降温,两段同向且均超置换阈值，单元同向率达标,109,+0.0571,0.0177,是,0.83,169,+0.0510,0.0189,是,0.65,+0.1081,+0.0890,+0.0738,197,197,216,+19,211:12个/+15.7% 985:15个/+10.8% 双一流:3个/-0.1% 普通公办:101个/+7.7% 民办:38个/-2.4%
历史学科类,本科批,汉语国际教育,持续降温,两段同向且均超置换阈值，单元同向率达标,53,+0.0363,0.0256,是,0.66,55,+0.0510,0.0336,是,0.71,+0.0873,+0.0682,+0.0738,82,74,63,-19,211:8个/+7.0% 985:5个/+6.0% 普通公办:34个/+5.8% 民办:8个/-4.2%
物理学科类,专科批,口腔医学,持续降温,两段同向且均超置换阈值，单元同向率达标,25,+0.0636,0.0189,是,0.96,28,+0.0420,0.0178,是,0.93,+0.1055,+0.0376,+0.0472,26,29,29,+3,普通公办:21个/+4.3% 民办:7个/+2.9%
物理学科类,专科批,小学教育,持续降温,两段同向且均超置换阈值，单元同向率达标,5,+0.0506,0.0415,是,1.00,10,+0.0490,0.0291,是,0.80,+0.0996,+0.0247,+0.0542,22,18,14,-8,普通公办:10个/+4.9%
物理学科类,本科批,儿科学,持续降温,两段同向且均超置换阈值，单元同向率达标,11,+0.1339,0.0493,是,0.82,11,+0.3294,0.0519,是,0.82,+0.4633,+0.1563,+0.3471,11,12,11,+0,普通公办:11个/+32.9%
物理学科类,本科批,临床医学,持续降温,两段同向且均超置换阈值，单元同向率达标,126,+0.1340,0.0137,是,0.88,133,+0.2157,0.0137,是,0.92,+0.3497,+0.1564,+0.2335,152,151,156,+4,211:16个/+19.8% 985:16个/+24.2% 双一流:1个/+23.0% 普通公办:89个/+21.6% 民办:11个/+20.8%
物理学科类,本科批,精算学,持续降温,两段同向且均超置换阈值，单元同向率达标,6,+0.1958,0.0698,是,1.00,7,+0.1201,0.0697,是,0.86,+0.3159,+0.2182,+0.1379,7,8,8,+1,211:3个/+25.1% 985:1个/+25.9% 普通公办:3个/+9.0%
物理学科类,本科批,口腔医学,持续降温,两段同向且均超置换阈值，单元同向率达标,40,+0.1448,0.0245,是,0.88,44,+0.1514,0.0248,是,0.93,+0.2962,+0.1672,+0.1691,46,46,49,+3,211:1个/+38.4% 985:9个/+21.7% 普通公办:27个/+15.7% 民办:7个/+8.1%
物理学科类,本科批,医学影像学,持续降温,两段同向且均超置换阈值，单元同向率达标,23,+0.0629,0.0328,是,0.96,24,+0.1678,0.0347,是,0.96,+0.2307,+0.0853,+0.1856,28,25,24,-4,211:1个/-8.5% 普通公办:20个/+16.9% 民办:3个/+15.2%
