学科类,批次,院校代码,院校名称,专业代码,招生专业名,归一专业,院校层次,标记,位次_2024,位次_2025,位次_2026,分数_2024,分数_2025,分数_2026,百分位_2024,百分位_2025,百分位_2026,超额漂移_24_25,超额漂移_25_26,专业标签
历史学科类,专科批,3807,湖南财经工业职业技术学院,07,业财数据应用与管理,业财数据应用与管理,普通公办,,,42074,37480,,359.0,369.0,,0.74700,0.71454,,-0.0328,样本不足
历史学科类,专科批,2899,辽宁经济职业技术学院,0B,业财数据应用与管理,业财数据应用与管理,普通公办,,,34233,29666,,400.0,413.0,,0.60779,0.56557,,-0.0604,样本不足
历史学科类,专科批,2592,辽宁职业学院,39,业财数据应用与管理,业财数据应用与管理,普通公办,,,40282,35614,,369.0,380.0,,0.71518,0.67897,,-0.0404,样本不足
历史学科类,专科批,1449,黑龙江职业学院,27,业财数据应用与管理,业财数据应用与管理,普通公办,,,,31852,,,401.0,,,0.60725,,,样本不足
历史学科类,专科批,4700,鞍山职业技术学院,02,中兽医,中兽医,普通公办,,,,32922,,,395.0,,,0.62765,,,
历史学科类,专科批,4893,三亚护理职业学院,20,中医养生保健,中医养生保健,民办,,,,50454,,,253.0,,,0.96189,,,样本不足
历史学科类,专科批,4592,广州卫生职业技术学院,25,中医养生保健,中医养生保健,普通公办,,31235,,,362.0,,,0.71724,,,,,样本不足
历史学科类,专科批,4289,辽宁医药职业学院,0T,中医养生保健,中医养生保健,普通公办,,27467,27115,24579,387.0,436.0,441.0,0.63071,0.48141,0.46859,+0.0102,-0.0154,样本不足
历史学科类,专科批,4603,长春健康职业学院,13,中医养生保健,中医养生保健,民办,,,,50454,,,253.0,,,0.96189,,,样本不足
历史学科类,专科批,4567,吉林职业技术学院,02,中医学,中医学,民办,,41737,35689,35088,262.0,393.0,383.0,0.95839,0.63364,0.66894,-0.1334,+0.0658,平稳
历史学科类,专科批,2785,唐山职业技术学院,21,中医学,中医学,普通公办,,27151,26250,22887,389.0,440.0,450.0,0.62346,0.46605,0.43633,-0.0106,-0.0543,平稳
历史学科类,专科批,4017,大庆医学高等专科学校,13,中医学,中医学,普通公办,,19482,20196,18317,441.0,471.0,476.0,0.44736,0.35857,0.34921,+0.0591,-0.0148,平稳
历史学科类,专科批,1968,安徽中医药高等专科学校,01,中医学,中医学,普通公办,,19482,14511,15427,441.0,502.0,493.0,0.44736,0.25763,0.29411,-0.2715,+0.1440,平稳
历史学科类,专科批,3778,山东中医药高等专科学校,01,中医学,中医学,普通公办,,20813,20756,19181,432.0,468.0,471.0,0.47792,0.36851,0.36568,+0.0204,+0.0039,平稳
历史学科类,专科批,3928,广州华立科技职业学院,YQ,中医学,中医学,民办,,,38797,,,377.0,,,0.68882,,,,平稳
历史学科类,专科批,4582,昭通卫生职业学院,06,中医学,中医学,普通公办,,,26450,23634,,439.0,446.0,,0.46960,0.45057,,-0.0298,平稳
历史学科类,专科批,3780,漯河医学高等专科学校,03,中医学,中医学,普通公办,,,,24741,,,440.0,,,0.47168,,,平稳
历史学科类,专科批,4597,濮阳医学高等专科学校,04,中医学,中医学,普通公办,,,,24741,,,440.0,,,0.47168,,,平稳
历史学科类,专科批,4158,石家庄人民医学高等专科学校,0B,中医学,中医学,民办,,,,26951,,,428.0,,,0.51381,,,平稳
历史学科类,专科批,4018,石家庄医学高等专科学校,10,中医学,中医学,民办,,27619,28736,25484,386.0,428.0,436.0,0.63421,0.51019,0.48584,+0.0628,-0.0373,平稳
历史学科类,专科批,4009,重庆医药高等专科学校,14,中医学,中医学,普通公办,,,,16828,,,485.0,,,0.32082,,,平稳
历史学科类,专科批,4272,黑龙江护理高等专科学校,05,中医学,中医学,普通公办,,24697,25050,,405.0,446.0,,0.56711,0.44475,,+0.0373,,平稳
历史学科类,专科批,0872,伊春职业学院,0L,中医康复技术,中医康复技术,普通公办,,,,30394,,,409.0,,,0.57945,,,平稳
历史学科类,专科批,4765,北海康养职业学院,10,中医康复技术,中医康复技术,民办,,,52318,,,284.0,,,0.92888,,,,平稳
历史学科类,专科批,4017,大庆医学高等专科学校,12,中医康复技术,中医康复技术,普通公办,,,,23063,,,449.0,,,0.43969,,,平稳
历史学科类,专科批,3961,大连枫叶职业技术学院,31,中医康复技术,中医康复技术,民办,,42403,41023,47410,246.0,365.0,294.0,0.97368,0.72834,0.90386,-0.0100,+0.2275,平稳
历史学科类,专科批,3966,山东药品食品职业学院,21,中医康复技术,中医康复技术,普通公办,,30916,26054,,364.0,441.0,,0.70991,0.46257,,-0.1480,,平稳
