school_name,major_name,batch,batch_year,tier
三峡大学,临床医学,,,national
三峡大学,临床医学（卓越医师实验班）,,,national
三峡大学,制药工程（AI制药产业班）,,,national
三峡大学,化学（分子智造特色）,,,national
三峡大学,医学影像学,,,national
三峡大学,土木工程（智慧土木方向）,,,national
三峡大学,土木工程（智慧电建拔尖班）,,,national
三峡大学,工程管理（水利电力方向）,,,national
三峡大学,数学与应用数学,,,national
三峡大学,数学与应用数学（教师教育）,,,national
三峡大学,新能源材料与器件（光电低碳能源材料与器件）,,,national
三峡大学,智能电网信息工程,,,national
三峡大学,机械设计制造及其自动化,,,national
三峡大学,材料成型及控制工程（智能成形与无损检测）,,,national
三峡大学,水利水电工程,,,national
三峡大学,水文与水资源工程,,,national
三峡大学,汉语言文学（创意写作）,,,national
三峡大学,汉语言文学（国学）,,,national
三峡大学,汉语言文学（教师教育）,,,national
三峡大学,港口航道与海岸工程,,,national
三峡大学,生物工程（生物智造产业班）,,,national
三峡大学,电气工程及其自动化,,,national
三峡大学,电气工程及其自动化（特来电拔尖班）,,,national
三峡大学,电气工程及其自动化（直流技术方向）,,,national
三峡大学,电气工程及其自动化（输电线路工程方向）,,,national
三峡大学,网络与新媒体,,,national
三峡大学,能源与动力工程（新能源拔尖班）,,,national
三峡大学,自动化,,,national
三峡大学,自动化（机器智能拔尖班）,,,national
三峡大学,英语（教师教育）,,,national
三峡大学,英语（翻译与国际传播）,,,national
三峡大学,药学,,,national
三峡大学,计算机科学与技术,,,national
三峡大学,财务管理（智能财务）,,,national
三峡大学,通信工程,,,national
三峡大学,金融学,,,national
三明学院,旅游管理与服务教育,,,national
三江学院,新闻学,,,national
三江学院,汉语言文学,,,national
三江学院,财务管理,,,national
上海中医药大学,中医学,,,national
上海中医药大学,中药学,,,national
上海中医药大学,中西医临床医学,,,national
上海中医药大学,康复治疗学,,,national
上海中医药大学,针灸推拿学,,,national
上海交通大学,人工智能,,,national
上海交通大学,会计学,,,national
上海交通大学,信息安全,,,national
上海交通大学,信息工程,,,national
上海交通大学,农业资源与环境,,,national
上海交通大学,化学,,,national
上海交通大学,化学工程与工艺,,,national
上海交通大学,天文学,,,national
上海交通大学,工业设计,,,national
上海交通大学,工商管理,,,national
上海交通大学,广播电视编导,,,national
上海交通大学,数学与应用数学,,,national
上海交通大学,文化产业管理,,,national
上海交通大学,机械工程,,,national
上海交通大学,材料科学与工程,,,national
上海交通大学,核工程与核技术,,,national
上海交通大学,植物科学与技术,,,national
上海交通大学,汉语言文学,,,national
上海交通大学,法学,,,national
上海交通大学,海洋科学,,,national
上海交通大学,物理学,,,national
上海交通大学,环境科学与工程,,,national
上海交通大学,生物医学工程,,,national
上海交通大学,生物工程,,,national
上海交通大学,生物技术,,,national
上海交通大学,电气工程及其自动化,,,national
上海交通大学,经济学,,,national
上海交通大学,统计学,,,national
上海交通大学,能源与动力工程,,,national
上海交通大学,自动化,,,national
上海交通大学,航空航天工程,,,national
上海交通大学,船舶与海洋工程,,,national
上海交通大学,英语,,,national
上海交通大学,药学,,,national
上海交通大学,行政管理,,,national
上海交通大学,视觉传达设计,,,national
上海交通大学,计算机科学与技术,,,national
上海交通大学,金融学,,,national
上海交通大学,食品科学与工程,,,national
上海交通大学医学院,临床医学,,,national
上海交通大学医学院,儿科学,,,national
上海交通大学医学院,医学检验技术,,,national
上海交通大学医学院,口腔医学,,,national
上海交通大学医学院,护理学,,,national
上海交通大学医学院,预防医学,,,national
上海体育大学,体育教育,,,national
上海体育大学,体育经济与管理,,,national
上海体育大学,应用心理学,,,national
上海体育大学,武术与民族传统体育,,,national
上海体育大学,社会体育指导与管理,,,national
上海体育大学,运动人体科学,,,national
上海体育大学,运动康复,,,national
上海体育大学,运动训练,,,national
上海健康医学院,医学影像技术,,,national
上海健康医学院,护理学,,,national
上海商学院,国际经济与贸易,,,national
上海商学院,工商管理,,,national
上海商学院,物流管理,,,national
上海商学院,电子商务,,,national
上海商学院,酒店管理,,,national
上海外国语大学,会计学,,,national
上海外国语大学,俄语,,,national
上海外国语大学,信息管理与信息系统,,,national
上海外国语大学,商务英语,,,national
上海外国语大学,国际政治,,,national
上海外国语大学,国际经济与贸易,,,national
上海外国语大学,工商管理,,,national
上海外国语大学,德语,,,national
上海外国语大学,意大利语,,,national
上海外国语大学,政治学与行政学,,,national
上海外国语大学,新闻学,,,national
上海外国语大学,日语,,,national
上海外国语大学,朝鲜语,,,national
上海外国语大学,汉语国际教育,,,national
上海外国语大学,法学,,,national
上海外国语大学,法语,,,national
上海外国语大学,网络与新媒体,,,national
上海外国语大学,翻译,,,national
上海外国语大学,英语,,,national
上海外国语大学,葡萄牙语,,,national
上海外国语大学,西班牙语,,,national
上海外国语大学,阿拉伯语,,,national
上海大学,中国画,,,national
上海大学,信息管理与信息系统,,,national
上海大学,冶金工程,,,national
上海大学,动画,,,national
上海大学,历史学,,,national
上海大学,国际经济与贸易,,,national
上海大学,土木工程,,,national
上海大学,工商管理,,,national
上海大学,广播电视编导,,,national
上海大学,应用化学,,,national
上海大学,应用物理学,,,national
上海大学,数字媒体技术,,,national
上海大学,数字媒体艺术,,,national
上海大学,数学与应用数学,,,national
上海大学,无机非金属材料工程,,,national
上海大学,机械电子工程,,,national
上海大学,机械设计制造及其自动化,,,national
上海大学,环境工程,,,national
上海大学,环境设计,,,national
上海大学,理论与应用力学,,,national
上海大学,生物工程,,,national
上海大学,电子信息工程,,,national
上海大学,电气工程及其自动化,,,national
上海大学,社会学,,,national
上海大学,经济学,,,national
上海大学,绘画,,,national
上海大学,美术学,,,national
上海大学,英语,,,national
上海大学,视觉传达设计,,,national
上海大学,计算机科学与技术,,,national
上海大学,通信工程,,,national
上海大学,金属材料工程,,,national
上海大学,金融学,,,national
上海大学,雕塑,,,national
上海大学,高分子材料与工程,,,national
上海对外经贸大学,会展经济与管理,,,national
上海对外经贸大学,会计学,,,national
上海对外经贸大学,信息管理与信息系统,,,national
上海对外经贸大学,商务英语,,,national
上海对外经贸大学,国际经济与贸易,,,national
上海对外经贸大学,审计学,,,national
上海对外经贸大学,工商管理,,,national
上海对外经贸大学,市场营销,,,national
上海对外经贸大学,应用统计学,,,national
上海对外经贸大学,法学,,,national
上海对外经贸大学,物流管理,,,national
上海对外经贸大学,电子商务,,,national
上海对外经贸大学,英语,,,national
上海对外经贸大学,财务管理,,,national
上海对外经贸大学,金融学,,,national
上海对外经贸大学,金融工程,,,national
上海工程技术大学,交通运输,,,national
上海工程技术大学,产品设计,,,national
上海工程技术大学,信息管理与信息系统,,,national
上海工程技术大学,制药工程,,,national
上海工程技术大学,化学工程与工艺,,,national
上海工程技术大学,工商管理,,,national
上海工程技术大学,市场营销,,,national
上海工程技术大学,旅游管理,,,national
上海工程技术大学,服装设计与工程,,,national
上海工程技术大学,机械工程,,,national
上海工程技术大学,环境工程,,,national
上海工程技术大学,计算机科学与技术,,,national
上海工程技术大学,车辆工程,,,national
上海师范大学,体育教育,,,national
上海师范大学,历史学,,,national
上海师范大学,古典文献学,,,national
上海师范大学,地理科学,,,national
上海师范大学,学前教育,,,national
上海师范大学,小学教育,,,national
上海师范大学,广告学,,,national
上海师范大学,广播电视编导,,,national
上海师范大学,应用心理学,,,national
上海师范大学,思想政治教育,,,national
上海师范大学,戏剧影视文学,,,national
上海师范大学,教育学,,,national
上海师范大学,数学与应用数学,,,national
上海师范大学,汉语国际教育,,,national
上海师范大学,汉语言文学,,,national
上海师范大学,物理学,,,national
上海师范大学,生物科学,,,national
上海师范大学,经济学,,,national
上海师范大学,绘画,,,national
上海师范大学,美术学,,,national
上海师范大学,舞蹈学,,,national
上海师范大学,英语,,,national
上海师范大学,计算机科学与技术,,,national
上海师范大学,金融学,,,national
上海师范大学,音乐学,,,national
上海应用技术大学,信息管理与信息系统,,,national
上海应用技术大学,制药工程,,,national
上海应用技术大学,化学工程与工艺,,,national
上海应用技术大学,土木工程,,,national
上海应用技术大学,市场营销,,,national
上海应用技术大学,材料物理,,,national
上海应用技术大学,材料科学与工程,,,national
上海应用技术大学,软件工程,,,national
上海应用技术大学,食品科学与工程,,,national
上海应用技术大学,香料香精技术与工程,,,national
上海戏剧学院,广播电视编导,,,national
上海戏剧学院,戏剧学,,,national
上海戏剧学院,戏剧影视导演,,,national
上海戏剧学院,戏剧影视文学,,,national
上海戏剧学院,戏剧影视美术设计,,,national
上海戏剧学院,播音与主持艺术,,,national
上海戏剧学院,舞蹈编导,,,national
上海戏剧学院,舞蹈表演,,,national
上海戏剧学院,艺术管理,,,national
上海戏剧学院,表演,,,national
上海政法学院,法学,,,national
上海政法学院,监狱学,,,national
上海政法学院,知识产权,,,national
上海杉达学院,酒店管理,,,national
上海杉达学院,金融学,,,national
上海海事大学,交通工程,,,national
上海海事大学,交通管理,,,national
上海海事大学,交通运输,,,national
上海海事大学,会计学,,,national
上海海事大学,安全工程,,,national
上海海事大学,工业工程,,,national
上海海事大学,机械设计制造及其自动化,,,national
上海海事大学,法学,,,national
上海海事大学,物流工程,,,national
上海海事大学,物流管理,,,national
上海海事大学,管理科学,,,national
上海海事大学,经济学,,,national
上海海事大学,航海技术,,,national
上海海事大学,船舶与海洋工程,,,national
上海海事大学,轮机工程,,,national
上海海关学院,海关管理,,,national
上海海洋大学,水产养殖学,,,national
上海海洋大学,水族科学与技术,,,national
上海海洋大学,海洋技术,,,national
上海海洋大学,海洋渔业科学与技术,,,national
上海海洋大学,生物科学,,,national
上海海洋大学,空间信息与数字技术,,,national
上海海洋大学,食品科学与工程,,,national
上海理工大学,产品设计,,,national
上海理工大学,光电信息科学与工程,,,national
上海理工大学,工商管理,,,national
上海理工大学,建筑环境与能源应用工程,,,national
上海理工大学,数学与应用数学,,,national
上海理工大学,机械设计制造及其自动化,,,national
上海理工大学,材料科学与工程,,,national
上海理工大学,环境工程,,,national
上海理工大学,生物医学工程,,,national
上海理工大学,电子信息工程,,,national
上海理工大学,管理科学,,,national
上海理工大学,编辑出版学,,,national
上海理工大学,能源与动力工程,,,national
上海理工大学,英语,,,national
上海理工大学,视觉传达设计,,,national
上海理工大学,计算机科学与技术,,,national
上海理工大学,车辆工程,,,national
上海理工大学,食品科学与工程,,,national
上海电力大学,电子科学与技术,,,national
上海电力大学,电气工程及其自动化,,,national
上海电力大学,能源与动力工程,,,national
上海电力大学,自动化,,,national
上海电力大学,计算机科学与技术,,,national
上海电机学院,机械设计制造及其自动化,,,national
上海电机学院,电气工程及其自动化,,,national
上海科技大学,计算机科学与技术,,,national
上海立信会计金融学院,会计学,,,national
上海立信会计金融学院,保险学,,,national
上海立信会计金融学院,国际经济与贸易,,,national
上海立信会计金融学院,审计学,,,national
上海立信会计金融学院,应用统计学,,,national
上海立信会计金融学院,税收学,,,national
上海立信会计金融学院,财务管理,,,national
上海立信会计金融学院,金融学,,,national
上海立信会计金融学院,金融工程,,,national
上海第二工业大学,产品设计,,,national
上海第二工业大学,机械工程,,,national
上海第二工业大学,物流管理,,,national
上海视觉艺术学院,工艺美术,,,national
上海视觉艺术学院,环境设计,,,national
上海视觉艺术学院,视觉传达设计,,,national
上海财经大学,会计学,,,national
上海财经大学,会计学（ACCA）,,,national
上海财经大学,保险学（保险精算与数据科学）,,,national
上海财经大学,信息与计算科学,,,national
上海财经大学,信息管理与信息系统,,,national
上海财经大学,劳动与社会保障,,,national
上海财经大学,商务英语,,,national
上海财经大学,国际经济与贸易,,,national
上海财经大学,工商管理（人力资源管理）,,,national
上海财经大学,"工商管理（实验班,商务分析方向）",,,national
上海财经大学,工商管理（战略与创新创业）,,,national
上海财经大学,市场营销,,,national
上海财经大学,投资学,,,national
上海财经大学,数学与应用数学,,,national
上海财经大学,法学（涉外法治实验班）,,,national
上海财经大学,法学（财经法治卓越班）,,,national
上海财经大学,税收学,,,national
上海财经大学,经济学（世界经济）,,,national
上海财经大学,经济学（劳动经济）,,,national
上海财经大学,经济学（国家经济学基础人才培养基地班）,,,national
上海财经大学,经济学（数量经济）,,,national
上海财经大学,经济统计学（金融统计与风险管理）,,,national
上海财经大学,统计学（实验班）,,,national
上海财经大学,行政管理,,,national
上海财经大学,计算机科学与技术,,,national
上海财经大学,财务管理（智能化）,,,national
上海财经大学,财政学,,,national
上海财经大学,金融学,,,national
上海音乐学院,作曲与作曲技术理论,,,national
上海音乐学院,录音艺术,,,national
上海音乐学院,音乐学,,,national
上海音乐学院,音乐表演,,,national
东北农业大学,乳品工程,,,national
东北农业大学,人力资源管理,,,national
东北农业大学,会计学,,,national
东北农业大学,农业机械化及其自动化,,,national
东北农业大学,农业水利工程,,,national
东北农业大学,农业资源与环境,,,national
东北农业大学,农学,,,national
东北农业大学,农林经济管理,,,national
东北农业大学,动物医学,,,national
